max_dropouts,min_thickness,max_ph_offset,drop_points,chip_run,dropout_run,dropout_run_relaxed,shiner_run,any_defect_run,any_defect_relaxed,SubID,label
0.0,2.46,2.1986,0,0,0,0,0,0,0,260714791798,1
800.0,0.0,8.0,87,1,1,1,0,1,1,260714791800,1
0.0,2.22,4.2883,0,0,0,0,0,0,1,260714804654,1
0.0,2.28,2.4486,0,0,0,0,0,0,0,260714806269,1
0.0,2.16,4.5526,0,0,0,0,0,0,1,260714813127,1
283.0,2.24,8.8877,1,0,0,0,0,0,1,260714813220,1
0.0,2.28,3.8246,0,0,0,0,0,0,0,260714813871,1
0.0,2.46,4.7225,0,0,0,0,0,0,0,260714814082,1
2.0,2.26,5.4477,0,0,0,0,0,0,0,260714814333,1
5.0,2.34,3.6766,0,0,0,0,0,0,0,260714814418,1
0.0,2.28,4.4584,0,0,0,0,0,0,0,260714814539,1
0.0,2.34,4.5379,0,0,0,0,0,0,0,260714814654,1
0.0,2.28,4.6209,0,0,0,0,0,0,0,260714814658,1
2.0,2.46,6.238,0,0,0,0,0,0,0,260714814660,1
0.0,2.38,5.4039,0,0,0,0,0,0,0,260714814672,1
3.0,2.32,4.0067,0,0,0,0,0,0,0,260714814818,1
0.0,2.48,2.7971,0,0,0,0,0,0,0,260714814865,1
0.0,2.44,4.7398,0,0,0,0,0,0,0,260714814965,1
0.0,2.48,3.0837,0,0,0,0,0,0,0,260714814969,1
2.0,2.4,3.2295,0,0,0,0,0,0,0,260714815535,1
3.0,2.38,2.0573,0,0,0,0,0,0,0,260714815839,1
0.0,2.48,3.8945,0,0,0,0,0,0,0,260714816050,1
800.0,0.0,9.046,171,4,3,7,0,1,1,260714816762,1
3.0,2.4,2.1355,0,0,0,0,0,0,0,260714816855,1
5.0,2.1,5.0334,0,0,0,0,0,0,1,260714816970,1
0.0,2.36,1.9141,0,0,0,0,0,0,0,260715790319,1
0.0,2.38,3.8279,0,0,0,0,0,0,0,260715790399,1
0.0,2.28,4.4721,0,0,0,0,0,0,0,260715790532,1
0.0,2.28,4.0222,0,0,0,0,0,0,0,260715791581,1
2.0,2.18,4.0475,0,0,0,0,0,0,1,260715791655,1
0.0,2.3,2.524,0,0,0,0,0,0,0,260715791873,1
2.0,2.34,4.7415,0,0,0,0,0,0,0,260715792053,1
211.0,2.28,5.4071,1,0,0,0,0,0,0,260715792099,1
800.0,0.0,8.0,18,2,1,3,0,1,1,260715792847,1
800.0,0.0,8.0,22,3,2,4,0,1,1,260715792887,1
800.0,0.0,8.9439,22,1,1,2,0,1,1,260715792893,1
800.0,0.0,8.0,12,1,0,3,0,1,1,260715792899,1
3.0,2.22,2.3915,0,0,0,0,0,0,1,260715792920,1
